4,2002,8,0,
5,1998,9.00526,-0.001317,6.18E-07
6,2002,7.50565,0.49887,0.2513
7,1873,10.24264,0.27242,0.03157
8,1778,12.3642,0.02023,0.0002269
9,1935,13.25188,-0.0404,0.001216
10,1788,13.5883,0.08516,0.008611
11,1868,15.36411,-0.04967,0.002525
12,1729,14.27287,0.17467,0.06985
13,1868,17.17737,-0.05339,0.003262
14,1759,15.24675,0.21462,0.1104
15,1848,18.56498,-0.02593,0.0008742
16,1762,16.17335,0.25377,0.1369
17,1863,18.93002,0.08891,0.01295
18,1791,17.47835,0.25658,0.1599
19,1867,19.28576,0.1794,0.05804
20,1774,18.09214,0.30556,0.2108
21,1850,19.47139,0.26351,0.1258
22,1778,19.12141,0.31853,0.2252
23,1869,20.68138,0.26863,0.1576
24,1791,19.5711,0.3593,0.2691
25,1893,21.5386,0.2945,0.1918
26,1800,20.6409,0.3654,0.2806
27,1910,21.86726,0.34181,0.2641
28,1806,21.16396,0.3971,0.3077
29,1891,22.54047,0.36558,0.2965
30,1810,21.67922,0.42344,0.319
31,1895,22.90977,0.39679,0.3405
32,1815,22.67501,0.42211,0.3342
33,1908,23.42166,0.42007,0.3617
34,1809,23.18932,0.44261,0.362
35,1912,24.0962,0.4324,0.3852
36,1811,23.62339,0.46029,0.372
37,1913,24.591,0.4465,0.3926
38,1810,23.23506,0.50772,0.4215
39,1912,25.57349,0.44157,0.3723
40,1806,24.51511,0.49067,0.3874
41,1905,25.58851,0.4703,0.3762
42,1810,24.17372,0.5292,0.4158
43,1909,26.93858,0.45163,0.3606
44,1817,24.30111,0.54794,0.4456
45,1904,26.0311,0.5002,0.3849
46,1812,23.96063,0.57461,0.4485
47,1896,26.08399,0.52059,0.3932
48,1804,24.5687,0.57453,0.4414
49,1902,27.72316,0.48595,0.3461
50,1803,26.96986,0.51815,0.3746
51,1897,28.53621,0.47729,0.3247
52,1897,28.53621,0.47729,0.3247
53,1882,30.37027,0.43308,0.2734
54,1766,32.87089,0.37124,0.1916
55,1792,37.79713,0.23736,0.07451
56,1377,46.25399,0.0367,0.00161